epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,495.138,1.26271,1.22736,1.06489,0.85228,0.94321,0.92002,0.50442,1.61793,0.9937,1.31892,0.000848969,0.000848969,0.000848969
43,504.872,1.20324,1.34807,1.09895,0.94065,0.85914,0.92924,0.48337,1.74238,1.00632,1.34678,0.000834822,0.000834822,0.000834822
44,514.53,1.40837,1.17354,1.12108,0.93007,0.87111,0.94372,0.48535,1.67327,0.98283,1.31985,0.000820675,0.000820675,0.000820675
45,524.145,1.30595,1.05566,1.10503,0.91786,0.88333,0.94672,0.49225,1.62732,0.94664,1.31463,0.000806528,0.000806528,0.000806528
46,533.995,1.18814,1.1107,1.08579,0.93195,0.85791,0.95476,0.43122,1.87596,1.08356,1.43378,0.00079238,0.00079238,0.00079238
47,543.733,1.33284,1.19439,1.10181,0.91756,0.89743,0.94837,0.44051,1.81884,1.0451,1.37664,0.000778233,0.000778233,0.000778233
48,554.15,1.32386,1.11799,1.06514,0.9115,0.9058,0.95427,0.47183,1.74003,1.00853,1.33858,0.000764086,0.000764086,0.000764086
49,564.041,1.22545,1.1083,1.08593,0.92828,0.91667,0.95667,0.48631,1.68983,0.95644,1.32992,0.000749939,0.000749939,0.000749939
50,573.797,1.36604,1.11035,1.10101,0.92224,0.91155,0.94922,0.50885,1.61302,0.8964,1.28771,0.000735792,0.000735792,0.000735792
51,583.494,1.18234,1.09425,1.03554,0.93264,0.89062,0.94004,0.50825,1.64646,0.89894,1.29024,0.000721645,0.000721645,0.000721645
52,593.249,1.59271,1.32516,1.18426,0.83312,0.93333,0.93217,0.47806,1.738,1.00389,1.32909,0.000707498,0.000707498,0.000707498
53,603.109,1.1461,0.92415,1.06017,0.82549,0.92356,0.9285,0.48622,1.70661,1.0692,1.32672,0.000693351,0.000693351,0.000693351
54,612.773,1.25507,1.08768,1.05109,0.77903,0.90606,0.90106,0.48856,1.64405,1.1888,1.29247,0.000679204,0.000679204,0.000679204
55,623.032,1.3174,1.1144,1.07759,0.86424,0.81561,0.87236,0.49773,1.63762,1.08255,1.29345,0.000665057,0.000665057,0.000665057
56,632.942,1.09425,0.97339,0.99609,0.85316,0.89309,0.91735,0.48282,1.71533,0.99792,1.34199,0.000650909,0.000650909,0.000650909
57,642.647,1.25764,0.95171,1.05392,0.90462,0.91667,0.93625,0.48391,1.72292,0.98565,1.36361,0.000636762,0.000636762,0.000636762
58,655.235,1.05767,0.92795,1.00901,0.83801,0.90274,0.90815,0.48813,1.61547,0.97578,1.32089,0.000622615,0.000622615,0.000622615
59,714.143,1.2107,1.13167,1.06197,0.87985,0.81788,0.89026,0.50511,1.55524,0.97463,1.28252,0.000608468,0.000608468,0.000608468
60,722.576,1.23737,1.04855,1.01623,0.8862,0.83253,0.88079,0.48759,1.60797,0.96112,1.30495,0.000594321,0.000594321,0.000594321
61,731.143,1.25437,1.02908,1.06188,0.91582,0.83677,0.8905,0.49184,1.58299,0.96476,1.30056,0.000580174,0.000580174,0.000580174
62,739.636,1.28361,1.05003,1.06144,0.91107,0.86839,0.93274,0.5026,1.57261,0.92414,1.29037,0.000566027,0.000566027,0.000566027
63,748.04,1.23552,0.96498,1.05896,0.91179,0.88636,0.93847,0.49612,1.59566,0.89155,1.29575,0.00055188,0.00055188,0.00055188
64,756.362,1.23611,0.90716,1.09679,0.89074,0.88636,0.92646,0.50282,1.54949,0.88288,1.2871,0.000537733,0.000537733,0.000537733
65,764.5,1.05837,0.85167,0.99605,0.87304,0.92428,0.93066,0.51256,1.56366,0.89651,1.29023,0.000523586,0.000523586,0.000523586
66,772.957,1.20022,1.00878,1.02997,0.90559,0.90303,0.93133,0.49899,1.65074,0.97774,1.31603,0.000509438,0.000509438,0.000509438
67,783.523,1.25323,1.00558,1.13455,0.89254,0.84242,0.91914,0.45787,1.70051,1.01994,1.33069,0.000495291,0.000495291,0.000495291
68,793.522,1.16817,1.05633,1.01279,0.82838,0.83713,0.88364,0.44391,1.67267,1.01883,1.32717,0.000481144,0.000481144,0.000481144
69,803.261,1.06559,0.90144,1.01197,0.83504,0.82516,0.86171,0.44783,1.65779,1.03703,1.31567,0.000466997,0.000466997,0.000466997
70,813.125,1.11654,0.92313,1.06826,0.82749,0.90991,0.88901,0.4589,1.6677,1.00898,1.33868,0.00045285,0.00045285,0.00045285
71,823.011,1.06381,0.84123,0.99071,0.87788,0.90303,0.90954,0.47214,1.67813,1.00009,1.359,0.000438703,0.000438703,0.000438703
72,832.772,1.07546,0.86938,1.02255,0.84123,0.89909,0.90076,0.49473,1.57239,0.95945,1.31103,0.000424556,0.000424556,0.000424556
73,842.663,0.99676,0.83389,0.98337,0.82092,0.90303,0.89317,0.51213,1.54394,0.92768,1.28893,0.000410409,0.000410409,0.000410409
74,852.767,1.07037,0.88575,0.99255,0.88364,0.83462,0.89223,0.49803,1.56842,0.97159,1.28269,0.000396262,0.000396262,0.000396262
75,862.591,1.2127,0.91671,1.05092,0.87135,0.83403,0.90003,0.50786,1.59796,0.9674,1.29179,0.000382115,0.000382115,0.000382115
76,872.29,0.95846,0.79209,0.94677,0.87856,0.85781,0.91729,0.52693,1.5269,0.90975,1.24273,0.000367967,0.000367967,0.000367967
77,882.032,1.01847,0.79358,0.97346,0.85728,0.87822,0.92805,0.52279,1.51462,0.85316,1.23505,0.00035382,0.00035382,0.00035382
